"X" "Sepal.Length" "Sepal.Width" "Petal.Length" "Petal.Width" "Species"
"69" 69 6.2 2.2 4.5 1.5 "versicolor"
"70" 70 5.6 2.5 3.9 1.1 "versicolor"
"71" 71 5.9 3.2 4.8 1.8 "versicolor"
"72" 72 6.1 2.8 4 1.3 "versicolor"
"73" 73 6.3 2.5 4.9 1.5 "versicolor"
"74" 74 6.1 2.8 4.7 1.2 "versicolor"
"75" 75 6.4 2.9 4.3 1.3 "versicolor"
"76" 76 6.6 3 4.4 1.4 "versicolor"
"77" 77 6.8 2.8 4.8 1.4 "versicolor"
"78" 78 6.7 3 5 1.7 "versicolor"
"79" 79 6 2.9 4.5 1.5 "versicolor"
"80" 80 5.7 2.6 3.5 1 "versicolor"
"81" 81 5.5 2.4 3.8 1.1 "versicolor"
"82" 82 5.5 2.4 3.7 1 "versicolor"
"83" 83 5.8 2.7 3.9 1.2 "versicolor"
"84" 84 6 2.7 5.1 1.6 "versicolor"
"85" 85 5.4 3 4.5 1.5 "versicolor"
"86" 86 6 3.4 4.5 1.6 "versicolor"
"87" 87 6.7 3.1 4.7 1.5 "versicolor"
"88" 88 6.3 2.3 4.4 1.3 "versicolor"
"89" 89 5.6 3 4.1 1.3 "versicolor"
"90" 90 5.5 2.5 4 1.3 "versicolor"
"91" 91 5.5 2.6 4.4 1.2 "versicolor"
"92" 92 6.1 3 4.6 1.4 "versicolor"
"93" 93 5.8 2.6 4 1.2 "versicolor"
"94" 94 5 2.3 3.3 1 "versicolor"
"95" 95 5.6 2.7 4.2 1.3 "versicolor"
"96" 96 5.7 3 4.2 1.2 "versicolor"
"97" 97 5.7 2.9 4.2 1.3 "versicolor"
"98" 98 6.2 2.9 4.3 1.3 "versicolor"
"99" 99 5.1 2.5 3 1.1 "versicolor"
"100" 100 5.7 2.8 4.1 1.3 "versicolor"
"101" 101 6.3 3.3 6 2.5 "virginica"
"102" 102 5.8 2.7 5.1 1.9 "virginica"
"103" 103 7.1 3 5.9 2.1 "virginica"
"104" 104 6.3 2.9 5.6 1.8 "virginica"
"105" 105 6.5 3 5.8 2.2 "virginica"
"106" 106 7.6 3 6.6 2.1 "virginica"
"107" 107 4.9 2.5 4.5 1.7 "virginica"
"108" 108 7.3 2.9 6.3 1.8 "virginica"
"109" 109 6.7 2.5 5.8 1.8 "virginica"
"110" 110 7.2 3.6 6.1 2.5 "virginica"
"111" 111 6.5 3.2 5.1 2 "virginica"
"112" 112 6.4 2.7 5.3 1.9 "virginica"
"113" 113 6.8 3 5.5 2.1 "virginica"
"114" 114 5.7 2.5 5 2 "virginica"
"115" 115 5.8 2.8 5.1 2.4 "virginica"
"116" 116 6.4 3.2 5.3 2.3 "virginica"
"117" 117 6.5 3 5.5 1.8 "virginica"
"118" 118 7.7 3.8 6.7 2.2 "virginica"
"119" 119 7.7 2.6 6.9 2.3 "virginica"
"120" 120 6 2.2 5 1.5 "virginica"
"121" 121 6.9 3.2 5.7 2.3 "virginica"
"122" 122 5.6 2.8 4.9 2 "virginica"
"123" 123 7.7 2.8 6.7 2 "virginica"
"124" 124 6.3 2.7 4.9 1.8 "virginica"
"125" 125 6.7 3.3 5.7 2.1 "virginica"
"126" 126 7.2 3.2 6 1.8 "virginica"
"127" 127 6.2 2.8 4.8 1.8 "virginica"
"128" 128 6.1 3 4.9 1.8 "virginica"
"129" 129 6.4 2.8 5.6 2.1 "virginica"
"130" 130 7.2 3 5.8 1.6 "virginica"
"131" 131 7.4 2.8 6.1 1.9 "virginica"
"132" 132 7.9 3.8 6.4 2 "virginica"
"133" 133 6.4 2.8 5.6 2.2 "virginica"
"134" 134 6.3 2.8 5.1 1.5 "virginica"
"135" 135 6.1 2.6 5.6 1.4 "virginica"
"136" 136 7.7 3 6.1 2.3 "virginica"
"137" 137 6.3 3.4 5.6 2.4 "virginica"
"138" 138 6.4 3.1 5.5 1.8 "virginica"
"139" 139 6 3 4.8 1.8 "virginica"
"140" 140 6.9 3.1 5.4 2.1 "virginica"
"141" 141 6.7 3.1 5.6 2.4 "virginica"
"142" 142 6.9 3.1 5.1 2.3 "virginica"
"143" 143 5.8 2.7 5.1 1.9 "virginica"
"144" 144 6.8 3.2 5.9 2.3 "virginica"
"145" 145 6.7 3.3 5.7 2.5 "virginica"
"146" 146 6.7 3 5.2 2.3 "virginica"
"147" 147 6.3 2.5 5 1.9 "virginica"
"148" 148 6.5 3 5.2 2 "virginica"
"149" 149 6.2 3.4 5.4 2.3 "virginica"
"150" 150 5.9 3 5.1 1.8 "virginica"
